CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
14.423.780/0001-97;01/06/2023;2;15/09/2023;KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB;01/12/2011;INVESTIDOR QUALIFICADO;BRKNRECTF006;18547161.2;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;14/08/2023;30/jun;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;6,24181E+13;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
14.631.148/0001-39;01/06/2023;1;18/07/2023;HAZ FUNDO DE INVESTIMENTO IMOBILIARIO;01/04/2012;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRATCCTF008;92.890.819.633.869;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;09/11/2023;30/jun;S;N;N;S;N;RJI CTVM LTDA;14.631.148/000;RUA DO OUVIDOR;97;7 andar;CENTRO;RIO DE JANEIRO;RJ;20040030;21 3500-4500;21 3500-4541;;www.rjicv.com.br;backoffice.adm@rjicv.com.br
14.788.492/0001-36;01/06/2023;1;28/09/2023;FII - FII PATEO BANDEIRANTES;21/01/2013;INVESTIDORES EM GERAL;BRPATBCTF004;3869378;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
15.461.076/0001-91;01/12/2023;1;19/01/2024;FUNDO DE INVESTIMENTOS IMOBILIÁRIO BR HOTÉIS FII;22/08/2012;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRBRHTCTF005;1841677;S;N;Desenvolvimento para Renda;Hotel;Ativa;Indeterminado;;31/dez;S;N;N;S;N;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;4,20663E+13;AVENIDA RIO BRANCO;138;4 ANDAR;Centro;Rio de Janeiro -RJ;RJ;20040-002;21-3500-4514;;;WWW.RJICV.COM.BR;Controladoria.fundos@rjicv.com.br
16.543.270/0001-89;01/12/2023;1;19/01/2024;SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILÁRIO - FII;21/05/2014;INVESTIDOR QUALIFICADO;BRFISDCTF006;1072588.36;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;20/05/2022;31/dez;S;N;N;S;N;RJI CTVM LTDA;1,65433E+13;AVENIDA RIO BRANCO;138;4 ANDAR;CENTRO;RIO DE JANEIRO;RJ;20040002;21 3500-4514;;;www.rjicv.com.br;Controladoria.fundos@rjicv.com.br
16.706.958/0001-32;01/06/2023;1;27/09/2023;KINEA RENDIMENTOS IMOBILIÁRIOS FII;15/10/2012;INVESTIDORES EM GERAL;BRKNCRCTF000;57097087;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;6,24181E+13;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
16.802.360/0001-47;01/06/2023;1;26/09/2023;FUNDO DE INVESTIMENTO IMOBILIÁRIO SOFI;03/04/2017;INVESTIDOR QUALIFICADO;BRFSOFCTF009;1.263.929.917.225;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2667;0800 179 444;(11) 2172-2600;www.planner.com.br;investfundos@planner.com.br
16.924.913/0001-34;01/06/2023;1;28/09/2023;VISTA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIARIO;06/09/2016;INVESTIDOR QUALIFICADO;BRVREFCTF009;84100000;N;N;Desenvolvimento para Venda;Híbrido;Ativa;Determinado;06/09/2023;30/jun;S;S;N;N;S;BANCO GENIAL S.A;4,52464E+13;PR DE BOTAFOGO;228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22.250-040;113206-8000;213293-3000;;WWW.BANCOGENIAL.COM;MIDDLEADM@GENIAL.COM.VC
17.007.443/0001-07;01/06/2023;1;28/09/2023;TRANSINC FII FII;05/08/2013;INVESTIDORES EM GERAL;BRTSNCCTF009;1086780;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
17.007.528/0001-95;01/06/2023;1;25/09/2023;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;04/05/2016;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGESECTF001;52000;N;N;Títulos e Valores Mobiliários;Híbrido;Passiva;Determinado;04/07/2036;30/jun;S;S;N;S;S;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21) 3262-9600;;;https://www.btgpactual.com/;ol-reguladores@btgpactual.com
17.035.124/0001-05;01/06/2023;1;25/09/2023;FUNDO DE INVESTIMENTO IMOBILIÁRIO HUMAITÁ - FII;15/12/2014;INVESTIDOR QUALIFICADO;BREDOMCTF000;1000;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/jun;N;S;N;N;S;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21) 3262-9600;;;https://www.btgpactual.com/;ol-reguladores@btgpactual.com
17.161.979/0001-82;01/12/2023;1;09/03/2024;FUNDO DE INVESTIMENTO PEDRA NEGRA RENDA IMOBILIÁRIA;14/02/2013;INVESTIDORES EM GERAL;BRFPNGCTF005;2001355;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/dez;S;N;N;S;N;BR-CAPITAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.;4,4077E+13;AV. DAS NAÇÕES UNIDAS;11857;CONJ. 111;BROOKLIN PAULISTA;SÃO PAULO;SP;04578-908;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
17.216.625/0001-98;01/06/2023;1;18/09/2023;JPP CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;03/05/2013;INVESTIDORES EM GERAL;BRJPPCCTF001;55000;N;N;Híbrido;Híbrido;Ativa;Determinado;31/12/2024;30/jun;S;N;N;S;N;BANCO FINAXIS S.A.;1,17587E+13;Rua Pasteur;463;11° andar;Água Verde;Curitiba;PR;80250 -104;(41) 3074-0909;(41) 3074-5817;(41) 3074-5787;http://finaxis.com.br/;atendimento@finaxis.com.br
18.259.637/0001-62;01/06/2023;1;25/09/2023;ETR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/09/2013;INVESTIDOR QUALIFICADO;BR044ZCTF002;185.8;S;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;1,82596E+13;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
18.369.510/0001-04;01/06/2023;1;27/09/2023;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;04/10/2013;INVESTIDOR QUALIFICADO;BRFINFCTF002;8.201.127.613.235;N;N;Desenvolvimento para Renda;Logística;Ativa;Indeterminado;;30/jun;S;S;N;S;S;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;6,70304E+13;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
18.730.914/0001-73;01/06/2023;1;27/09/2023;FII EXCLUSIVO INFRA PATRIMONIAL II;06/09/2013;INVESTIDOR PROFISSIONAL;0;551.165.906;N;N;Híbrido;Outros;Ativa;Indeterminado;;30/jun;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;6,70304E+13;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
18.979.895/0001-13;01/06/2023;1;28/09/2023;CAPITANIA SECURITIES II FII - FII;07/08/2014;INVESTIDORES EM GERAL;BRCPTSCTF004;31782814;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
19.249.956/0001-50;01/06/2023;1;28/09/2023;LA DEFÉNSE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;11/10/2013;INVESTIDORES EM GERAL;BRICTUCTF005;14350;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;30/jun;N;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;1,925E+13;Av. das Américas;3434;Bl. 07, Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
19.249.989/0001-08;01/06/2023;1;25/09/2023;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III - FII;30/04/2019;INVESTIDOR QUALIFICADO;BRRSPDCTF006;149011;S;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;30/04/2025;30/jun;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;1,925E+13;Avenida das Américas;3434;Bl. 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
19.872.887/0001-36;01/06/2023;1;27/09/2023;FII MINT EDUCACIONAL;20/03/2020;INVESTIDORES EM GERAL;BRMINTCTF009;520000;N;N;Híbrido;Outros;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
20.019.120/0001-48;01/06/2023;1;28/09/2023;FII 4KIDS;13/11/2014;INVESTIDOR QUALIFICADO;BR00GECTF009;1638907;S;N;Renda;Outros;Ativa;Determinado;11/11/2064;30/jun;N;N;S;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
20.132.453/0001-89;01/06/2023;1;04/10/2023;FUNDO DE INVESTIMENTO IMOBILIARIO TC BTOWERS;26/06/2014;INVESTIDORES EM GERAL;BRTCWSCTF000;80.926.971.085.469;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BRL TRUST DTVM S.A.;1,34868E+13;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11) 3133-0350;;;www.brltrust.com.br;juridico.fii@brltrust.com.br
20.173.064/0001-00;01/06/2023;1;28/09/2023;RESIDENCIAIS ONE FII;21/08/2014;INVESTIDOR QUALIFICADO;BRBKOICTF009;50107;N;N;Desenvolvimento para Venda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
20.990.694/0001-69;01/06/2023;1;26/09/2023;FGRP FUNDO DE INVESTIMENTO IMOBILIÁRIO;01/03/2018;INVESTIDOR QUALIFICADO;BRGBXPCTF003;18.422.583.003.927;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/jun;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2667;0800 179 444;(11) 2172-2600;www.planner.com.br;investfundos@planner.com.br
21.500.500/0001-62;01/06/2023;1;28/09/2023;SHOPPING INTERNACIONAL GUARULHOS FII;11/09/2015;INVESTIDOR QUALIFICADO;-;1752306;N;N;Renda;Shoppings;Ativa;Indeterminado;;30/jun;N;N;S;N;N;XP INVESTIMENTOS CCTVM S.A.;02332886000104;Av. Ataulfo de Paiva;153;5º e 8º Andares;Leblon;Rio de Janeiro;RJ;22440-033;(11) 3027-2237;;;www.xpi.com.br;regulatorio-ams@xpi.com.br
21.500.514/0001-86;01/06/2023;1;28/09/2023;PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;11/06/2016;INVESTIDOR PROFISSIONAL;BRVTVICTF003;1780984;S;S;Renda;Outros;Ativa;Indeterminado;;30/jun;N;S;N;N;S;BV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2,15005E+13;Avenida das Nações Unidas;14171;Torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
22.103.617/0001-75;01/06/2023;1;28/08/2023;TC ALMAVI FUNDO DE INVESTIMENTO IMOBILIARIO - FII;23/09/2015;INVESTIDOR PROFISSIONAL;BR028KCTF007;84969815.76;N;N;Híbrido;Outros;Ativa;Indeterminado;;30/jun;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;2,21036E+13;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
22.459.737/0001-00;01/06/2023;1;28/09/2023;MULTI SHOPPINGS FII FII;24/03/2016;INVESTIDORES EM GERAL;BRSHOPCTF004;1481266;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.648.935/0001-84;01/06/2023;1;28/09/2023;FII MAUA CAPITAL RECEBIVEIS IMOBILIARIOS  FII;21/08/2019;INVESTIDORES EM GERAL;BRMCCICTF008;16960024;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;5,92813E+13;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.740.595/0001-17;01/06/2023;1;28/09/2023;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING;30/08/2018;INVESTIDORES EM GERAL;BRVSHOCTF002;2098800;N;N;Renda;Shoppings;Ativa;Indeterminado;;30/jun;S;N;N;S;N;BV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2,37406E+13;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
23.876.086/0001-16;01/06/2023;1;26/09/2023;JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB;16/11/2021;INVESTIDORES EM GERAL;BRJTPRCTF001;21.467.489.786.655;N;S;Desenvolvimento para Venda;Residencial;Ativa;Determinado;16/11/2021;30/jun;S;N;N;S;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2667;0800 179 444;(11) 2172-2600;www.planner.com.br;investfundos@planner.com.br
23.964.843/0001-03;01/06/2023;2;04/10/2023;BRIO REAL ESTATE II;06/07/2018;INVESTIDORES EM GERAL;BRBRIMCTF008;12.413.731.422.842;N;N;Híbrido;Residencial;Ativa;Determinado;06/07/2023;Junho;S;N;N;S;N;BRL TRUST DTVM S.A.;1,34868E+13;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;juridico.fii@apexgroup.com
24.960.430/0001-13;01/06/2023;1;27/09/2023;KINEA INDICES DE PREÇOS FII;16/09/2016;INVESTIDOR QUALIFICADO;BRKNIPCTF001;80078186;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/jun;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;6,24181E+13;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
