CNPJ_Fundo;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
12.978.943/0001-72;2023-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Credit Suisse Hedging-Griffo Corretora de Valores S/A.;Outubro/2006 a fevereiro/2017;Vice Presidente - Real Estate;Instituição Financeira
12.978.943/0001-72;2023-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments Distribuidora de Títulos e Valores Mobiliários Ltda.;Fevereiro/2017 até a presente data;Sócia e Diretora;Instituição Financeira
13.000.836/0001-38;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;;2006-até atual - Diretora Estatutária - Conglomerado;Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos.Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos
13.000.836/0001-38;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;De 08/1997 até atual;1997-2006 - Gerente de Back Office e Qualidade;Manutenção do sistema de gestão da qualidade, fornecendo informações à Diretoria de Controles Internos e demais áreas, contribuindo com o objetivo global institucionalProcessamento de Clubes e FundosLiquidação Financeira (Tesouraria)Acompanhamento de auditorias externas dos órgãos certificadores - AnbimaCoordenar as atividades de acordo com o Código de Regulamentação Anbima vigentePreparar e elaborar em conjunto com os colaboradores das áreas, os procedimentos, indicadores, pesquisa de satisfação e demais ferramentas que facilitem a execução das atividades das áreas.
14.056.001/0001-62;2023-06-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
14.080.689/0001-16;2023-06-01;1;JOSE ALEXANDRE COSTA DE FREITAS;Diretor Responsável pelo FII;Oliveira Trust;Março de 1992 - Data atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
14.410.722/0001-29;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Banco BV;mai/21 - atual;Superintendente de Administração Fiduciária;Gestão de recursos
14.410.722/0001-29;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Senior Solution Financial Interprise;mai/16 -jun/17;Diretor de Novos Negócios;Tecnologia
14.410.722/0001-29;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;TOTVS - Financial Service;jun/17 - mai/21;Diretor Comercial;Tecnologia
14.423.780/0001-97;2023-06-01;2;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Maio/2017 - Atual;Superintendente de Administração Fiduciária;Responsável pela administração fiduciária de mais de 3mil fundos, zelando pelos interesses dos cotistas.
14.423.780/0001-97;2023-06-01;2;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Outubro/2005 - Abril/2017;Gerente de Estruturação de Produtos Asset;Responsável pelo desenvolvimento e gestão da prateleira de fundos de investimento, coletivos e exclusivos, bem como carteiras administradas e ETFs.
14.423.780/0001-97;2023-06-01;2;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Fevereiro/2021 - Atual;Diretor;Responsável perante a CVM pela atividade de administração de carteira de valores mobiliários, administração fiduciária.
14.788.492/0001-36;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de CEO (Chief Executive Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de CEO (Chief Executive Officer) da área de Global Asset Management.
14.788.492/0001-36;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
16.706.958/0001-32;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Maio/2017 - Atual;Superintendente de Administração Fiduciária;Responsável pela administração fiduciária de mais de 3mil fundos, zelando pelos interesses dos cotistas.
16.706.958/0001-32;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Outubro/2005 - Abril/2017;Gerente de Estruturação de Produtos Asset;Responsável pelo desenvolvimento e gestão da prateleira de fundos de investimento, coletivos e exclusivos, bem como carteiras administradas e ETFs.
16.706.958/0001-32;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Fevereiro/2021 - Atual;Diretor;Responsável perante a CVM pela atividade de administração de carteira de valores mobiliários, administração fiduciária.
16.802.360/0001-47;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;De 08/1997 até atual;1997-2006 - Gerente de Back Office e Qualidade;Manutenção do sistema de gestão da qualidade, fornecendo informações à Diretoria de Controles Internos e demais áreas, contribuindo com o objetivo global institucionalProcessamento de Clubes e FundosLiquidação Financeira (Tesouraria)Acompanhamento de auditorias externas dos órgãos certificadores - AnbimaCoordenar as atividades de acordo com o Código de Regulamentação Anbima vigentePreparar e elaborar em conjunto com os colaboradores das áreas, os procedimentos, indicadores, pesquisa de satisfação e demais ferramentas que facilitem a execução das atividades das áreas.
16.802.360/0001-47;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;;2006-até atual - Diretora Estatutária - Conglomerado;Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos.Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos
16.924.913/0001-34;2023-06-01;1;RODRIGO DE GODOY;Diretor Responsável pelo FII;J.P. Morgan;2010/2016;Diretor;Instituição financeira
16.924.913/0001-34;2023-06-01;1;RODRIGO DE GODOY;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição financeira
17.007.443/0001-07;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
17.007.443/0001-07;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
17.007.528/0001-95;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer)da área de Merchant Banking e,atualmente, ocupa o cargo de COO (Chief Operations Officer)da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief OperationsOfficer) da área de Global Asset Management.
17.007.528/0001-95;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
17.007.528/0001-95;2023-06-01;1;n/a;Representante de cotistas;n/a;;;
17.035.124/0001-05;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer)da área de Merchant Banking e,atualmente, ocupa o cargo de COO (Chief Operations Officer)da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief OperationsOfficer) da área de Global Asset Management.
17.035.124/0001-05;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
17.161.979/0001-82;2023-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária.
17.161.979/0001-82;2023-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;BR-CAPITAL D.T.V.M. S.A.;2016 até a presente data;Diretora;Distribuidora de Títulos e Valores Mobiliários
18.259.637/0001-62;2023-06-01;1;Eric Hayashida;Diretor Responsável pelo FII;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A;11/2020 a 01/2022;Relationship Manager;Distribuidora de Títulos e Valores Mobiliários
18.259.637/0001-62;2023-06-01;1;Eric Hayashida;Diretor Responsável pelo FII;ITAÚ UNIBANCO S.A;07/2013 a 10/2020;Fund Operations Manager;Serviços Financeiros
18.259.637/0001-62;2023-06-01;1;Eric Hayashida;Diretor Responsável pelo FII;Vórtx DTVM;01/2022 a atual;Diretor de administração fiduciária, distribuição e suitability;Distribuidora de Títulos e Valores Mobiliários
18.369.510/0001-04;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Grupo Planner;2001/ Atual;Diretor / Conselheiro;Responsável pela administração fiduciária de Fundos de Investimento
18.369.510/0001-04;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bradesco S/A;2000/2001;Gerente de Underwriting;Realização de prospecção de operações, nas quais as empresas utilizam o mercado de capitais como fonte de recursos para suportar investimentos e/ou alongamento de outros financiamentos / empréstimos.  O trabalho consistia na prospecção propriamente dita, ou seja, visitas / reuniões com os potenciais emissores, bem como o acompanhamento do processo de registro da operação junto à CVM - Comissão de Valores Mobiliário e do procedimento de venda dos títulos ao mercado (basicamente investidores institucionais).
18.369.510/0001-04;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bandeirantes de Investimentos S/A;1986/1999;Analista de Investimento;Realizava acompanhamento de empresas de capital aberto, bem como o mercado financeiro de um modo geral, objetivando a elaboração de relatórios diários para definição de estratégias na administração de recursos de terceiros.
18.369.510/0001-04;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Planner Corretora de Valores S/A;1999/2000;Gerente;Coordenação da Área de Agente Fiduciário, realizando entre outras atividades, o acompanhamento diário dos preços unitários das debêntures, controle dos "covenants" financeiros constantes da escritura de emissão, bem como avaliação das providências a serem adotadas nas emissões que encontram-se inadimplentes.
18.730.914/0001-73;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Grupo Planner;2001/ Atual;Diretor / Conselheiro;Responsável pela administração fiduciária de Fundos de Investimento
18.730.914/0001-73;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bandeirantes de Investimentos S/A;1986/1999;Analista de Investimento;Realizava acompanhamento de empresas de capital aberto, bem como o mercado financeiro de um modo geral, objetivando a elaboração de relatórios diários para definição de estratégias na administração de recursos de terceiros.
18.730.914/0001-73;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Planner Corretora de Valores S/A;1999/2000;Gerente;Coordenação da Área de Agente Fiduciário, realizando entre outras atividades, o acompanhamento diário dos preços unitários das debêntures, controle dos "covenants" financeiros constantes da escritura de emissão, bem como avaliação das providências a serem adotadas nas emissões que encontram-se inadimplentes.
18.730.914/0001-73;2023-06-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bradesco S/A;2000/2001;Gerente de Underwriting;Realização de prospecção de operações, nas quais as empresas utilizam o mercado de capitais como fonte de recursos para suportar investimentos e/ou alongamento de outros financiamentos / empréstimos.  O trabalho consistia na prospecção propriamente dita, ou seja, visitas / reuniões com os potenciais emissores, bem como o acompanhamento do processo de registro da operação junto à CVM - Comissão de Valores Mobiliário e do procedimento de venda dos títulos ao mercado (basicamente investidores institucionais).
18.979.895/0001-13;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
18.979.895/0001-13;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
19.249.956/0001-50;2023-06-01;1;JOSE ALEXANDRE COSTA DE FREITAS;Diretor Responsável pelo FII;Oliveira Trust;Março de 1992 - Data atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
19.249.989/0001-08;2023-06-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
19.872.887/0001-36;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
19.872.887/0001-36;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
20.019.120/0001-48;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
20.019.120/0001-48;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de CEO (Chief Executive Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de CEO (Chief Executive Officer) da área de Global Asset Management.
20.132.453/0001-89;2023-06-01;1;Danilo Christófaro Barbieri;Diretor Responsável pelo FII;BRL TRUST DTVM S.A;Desde 01/04/2016;Sócio-Diretor;Administrador fiduciário
20.173.064/0001-00;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
20.173.064/0001-00;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
20.990.694/0001-69;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;;2006-até atual - Diretora Estatutária - Conglomerado;Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos.Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos
20.990.694/0001-69;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;De 08/1997 até atual;1997-2006 - Gerente de Back Office e Qualidade;Manutenção do sistema de gestão da qualidade, fornecendo informações à Diretoria de Controles Internos e demais áreas, contribuindo com o objetivo global institucionalProcessamento de Clubes e FundosLiquidação Financeira (Tesouraria)Acompanhamento de auditorias externas dos órgãos certificadores - AnbimaCoordenar as atividades de acordo com o Código de Regulamentação Anbima vigentePreparar e elaborar em conjunto com os colaboradores das áreas, os procedimentos, indicadores, pesquisa de satisfação e demais ferramentas que facilitem a execução das atividades das áreas.
21.500.500/0001-62;2023-06-01;1;Lizandro Sommer Arnoni;Diretor Responsável pelo FII;BNY Mellon Serviços Financeiros DTVM;março de 2015 a agosto de 2021;Diretor Executivo;Diretor Executivo responsável pelos serviços de administração fiduciária, custódia e controladoria
21.500.500/0001-62;2023-06-01;1;Lizandro Sommer Arnoni;Diretor Responsável pelo FII;XP Investimentos CCTVM S.A.;Desde setembro de 2021;Diretor de Administração Fiduciária;Diretor responsável pelos serviços de administração fiduciária
21.500.514/0001-86;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;TOTVS - Financial Service;jun/17 - mai/21;Diretor Comercial;Tecnologia
21.500.514/0001-86;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Banco BV;mai/21 - atual;Superintendente de Administração Fiduciária;Gestão de recursos
21.500.514/0001-86;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Senior Solution Financial Interprise;mai/16 -jun/17;Diretor de Novos Negócios;Tecnologia
22.103.617/0001-75;2023-06-01;1;Ernane Divino dos Santos Alves;Diretor Responsável pelo FII;Banco Votorantim S.A.;10/2015 a 09/2019;Gerente de Operações Asset Management;Distribuidora de Títulos e Valores Mobiliários
22.103.617/0001-75;2023-06-01;1;Ernane Divino dos Santos Alves;Diretor Responsável pelo FII;Vórtx DTVM;09/2019 a 12/2020;Head de Serviços Qualificados;Distribuidora de Títulos e Valores Mobiliários
22.103.617/0001-75;2023-06-01;1;Ernane Divino dos Santos Alves;Diretor Responsável pelo FII;Banco Votorantim S.A.;12/2012 a 10/2015;Supervisor de Operações Asset Management;Distribuidora de Títulos e Valores Mobiliários
22.103.617/0001-75;2023-06-01;1;Ernane Divino dos Santos Alves;Diretor Responsável pelo FII;Vórtx DTVM;01/2021 até a presente data;Head de Administração Fiduciária;Distribuidora de Títulos e Valores Mobiliários
22.459.737/0001-00;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
22.459.737/0001-00;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
23.648.935/0001-84;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
23.648.935/0001-84;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
23.740.595/0001-17;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;TOTVS - Financial Service;jun/17 - mai/21;Diretor Comercial;Tecnologia
23.740.595/0001-17;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Senior Solution Financial Interprise;mai/16 -jun/17;Diretor de Novos Negócios;Tecnologia
23.740.595/0001-17;2023-06-01;1;Marcos Charcon Dainesi;Diretor Responsável pelo FII;Banco BV;mai/21 - atual;Superintendente de Administração Fiduciária;Gestão de recursos
23.876.086/0001-16;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;;2006-até atual - Diretora Estatutária - Conglomerado;Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos.Gestão de Controles Internos na aplicação de normas de Controles InternosGestão de RiscosPrevenção e mitigação dos riscos de prevenção à lavagem de dinheiro, implementação, cumprimento de regras, políticas e procedimentos internos
23.876.086/0001-16;2023-06-01;1;Clauda Siola Cianfarani;Diretor Responsável pelo FII;CONGLOMERADO PLANNER;De 08/1997 até atual;1997-2006 - Gerente de Back Office e Qualidade;Manutenção do sistema de gestão da qualidade, fornecendo informações à Diretoria de Controles Internos e demais áreas, contribuindo com o objetivo global institucionalProcessamento de Clubes e FundosLiquidação Financeira (Tesouraria)Acompanhamento de auditorias externas dos órgãos certificadores - AnbimaCoordenar as atividades de acordo com o Código de Regulamentação Anbima vigentePreparar e elaborar em conjunto com os colaboradores das áreas, os procedimentos, indicadores, pesquisa de satisfação e demais ferramentas que facilitem a execução das atividades das áreas.
23.964.843/0001-03;2023-06-01;2;Danilo Christófaro Barbieri;Diretor Responsável pelo FII;BRL TRUST DTVM S.A;Desde 01/04/2016;Sócio-Diretor;Administrador fiduciário
24.960.430/0001-13;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Fevereiro/2021 - Atual;Diretor;Responsável perante a CVM pela atividade de administração de carteira de valores mobiliários, administração fiduciária.
24.960.430/0001-13;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Maio/2017 - Atual;Superintendente de Administração Fiduciária;Responsável pela administração fiduciária de mais de 3mil fundos, zelando pelos interesses dos cotistas.
24.960.430/0001-13;2023-06-01;1;ROBERTA ANCHIETA SILVA;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Outubro/2005 - Abril/2017;Gerente de Estruturação de Produtos Asset;Responsável pelo desenvolvimento e gestão da prateleira de fundos de investimento, coletivos e exclusivos, bem como carteiras administradas e ETFs.
26.269.251/0001-60;2023-06-01;1;EDUARDO ALVES SOBRINHO;Diretor Responsável pelo FII;INDIGO INVESTIMENTOS DTVM;MAR-2021 ATÉ O MOMENTO;DIRETOR;ADMINISTRADORA E CUSTÓDIA DE FUNDOS
26.269.251/0001-60;2023-06-01;1;EDUARDO ALVES SOBRINHO;Diretor Responsável pelo FII;GALT CAPITAL;SET-2007 A JUN-2017;GESTOR;GESTÃO
26.314.437/0001-93;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
26.314.437/0001-93;2023-06-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
26.614.291/0001-00;2023-06-01;1;ROGERIO PENTEADO FELGUEIRAS;Diretor Responsável pelo FII;CM Capital Markets;5 anos;Superintendente na CM CCTVM;Estruturação da área para prestar serviços qualificados com foco principal em produtos estruturados (FIDC, FIP e FII): (i) Custódia Qualificada de Títulos e Valores Mobiliários: liquidação física e financeira dos ativos, sua guarda, bem como a administração e informação de eventos associados a esses ativos, compreendendo também a liquidação financeira (ii) Controladoria de Fundos de Investimento, clubes e Carteiras Administradas (controle das carteiras, cálculo do patrimônio líquido e do valor das cotas dos Fundos, controle das posições dos cotistas, cálculos e controle de Riscos e Precificação das carteiras, enquadramento dos Fundos e das Carteiras aos regulamentos e legislações aplicáveis, informações legais, informações aos clientes) e (iii) Escrituração de Ativos, (iv) Investidor Não Residente, e (v) Processamento dos clientes Home Broker. A partir de 07/2017 assumiu a Diretoria de Serviços Qualificados.
26.846.280/0001-47;2023-06-01;1;TITO CAPITANI GUSMÃO;Diretor Responsável pelo FII;Grupo Warren;2015 - Data atual;CEO;Gestão e Administração de Recursos
27.445.482/0001-40;2023-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Credit Suisse Hedging-Griffo Corretora de Valores S/A.;Outubro/2006 a fevereiro/2017;Vice Presidente - Real Estate;Instituição Financeira
27.445.482/0001-40;2023-06-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments Distribuidora de Títulos e Valores Mobiliários Ltda.;Fevereiro/2017 até a presente data;Sócia e Diretora;Instituição Financeira
