CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 8ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;28188252.29;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 13ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;27368839.8;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 2 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;21713419;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 6 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;14199999;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 3 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;10804000;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 4 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;5752593;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 5 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;5200000;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 33ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;4956853.04;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - BARI SECURITIZADORA S.A. - Série nº 96 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;4954241.97;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;4627220;Emissão de Cotas
16.706.958/0001-32;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 8 da 96ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;3500000;Emissão de Cotas
17.216.625/0001-98;2023-06-01;1;Títulos Públicos;Ativo de liquidez;432205619.48;Patrimonio Liquido do Fundo
18.369.510/0001-04;2023-06-01;1;MAM ZC TESOURO SELIC FI RF;Gestão de Liquidez do Fundo;809957.81;Fluxo de Caixa
18.730.914/0001-73;2023-06-01;1;MAM ZC TESOURO SELIC FI RF;Gestão de Liquidez do Fundo;1976394.38;Fluxo de Caixa
18.730.914/0001-73;2023-06-01;1;FII INFRA REAL ESTATE FII;Investimento de Longo Prazo;20479086.55;Fluxo de Caixa
18.979.895/0001-13;2023-06-01;1;PDP SHOPP CENTER FII;Lucro na Venda;374959.26;Capital
18.979.895/0001-13;2023-06-01;1;FII CAIXA TRX LOGISTICA RENDA;Lucro na Venda;199644.14;Capital
18.979.895/0001-13;2023-06-01;1;FII THE ONE;Lucro na Venda;183982.50;Capital
18.979.895/0001-13;2023-06-01;1;TORRE ALMIRANTE FII;Lucro na Venda;165880.38;Capital
18.979.895/0001-13;2023-06-01;1;CSHG LOGÍSTICA FII;Lucro na Venda;3040.62;Capital
18.979.895/0001-13;2023-06-01;1;PEDRA DOURADA FII;Lucro na Venda;972475.24;Capital
18.979.895/0001-13;2023-06-01;1;VINCI IF FII;Lucro na Venda;3810583.62;Capital
18.979.895/0001-13;2023-06-01;1;PLURAL RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;1530519.00;Capital
18.979.895/0001-13;2023-06-01;1;REAG MULTI ATIVOS IMOBILIARIOS - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;211078.10;Capital
18.979.895/0001-13;2023-06-01;1;BTG PACTUAL LOGÍSTICA FII;Lucro na Venda;113903977.30;Capital
18.979.895/0001-13;2023-06-01;1;FII ATHENA I;Lucro na Venda;282682.11;Capital
18.979.895/0001-13;2023-06-01;1;BLUEMACAW OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;867949.00;Capital
18.979.895/0001-13;2023-06-01;1;SANTANDER RENDA DE ALUGUEIS FUNDO DE INVESTIMENTO IMOBILIARIO- FII;Lucro na Venda;1670211.81;Capital
18.979.895/0001-13;2023-06-01;1;XP PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;5898090.16;Capital
18.979.895/0001-13;2023-06-01;1;LOGCP INTER FII;Lucro na Venda;11247.94;Capital
18.979.895/0001-13;2023-06-01;1;JFL LIVING FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;120335.61;Capital
18.979.895/0001-13;2023-06-01;1;VBI CREDITO FII;Lucro na Venda;12240.18;Capital
18.979.895/0001-13;2023-06-01;1;RB CAPITAL OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;1480918.18;Capital
18.979.895/0001-13;2023-06-01;1;BRIO MULTIESTRATEGIA - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;72788.41;Capital
18.979.895/0001-13;2023-06-01;1;FII SHOPPINGS AAA;Lucro na Venda;43500000.00;Capital
18.979.895/0001-13;2023-06-01;1;CORPORATE OFFICE PROPERTIES FII;Lucro na Venda;61008700.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 10G0033154;Lucro na Venda;990571.63;Capital
18.979.895/0001-13;2023-06-01;1;CRI 18F0879293;Lucro na Venda;3112294.52;Capital
18.979.895/0001-13;2023-06-01;1;CRI 19A0093844;Lucro na Venda;71858800.04;Capital
18.979.895/0001-13;2023-06-01;1;CRI 19I0737680;Lucro na Venda;1295531.97;Capital
18.979.895/0001-13;2023-06-01;1;CRI 20K0660743;Lucro na Venda;14379217.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 20K0699593;Lucro na Venda;1633398.17;Capital
18.979.895/0001-13;2023-06-01;1;CRI 21D0737500;Lucro na Venda;180662.91;Capital
18.979.895/0001-13;2023-06-01;1;CRI 21G0864354;Lucro na Venda;203898585.50;Capital
18.979.895/0001-13;2023-06-01;1;CRI 21L0736589;Lucro na Venda;133696682.30;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22A0699149;Lucro na Venda;134581590.52;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22E1314836;Lucro na Venda;25918971.42;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22F1296971;Lucro na Venda;91235477.10;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22G0701494;Lucro na Venda;89648494.13;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22H0194042;Lucro na Venda;197760113.97;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22H1631360;Lucro na Venda;54792229.87;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22I0089753;Lucro na Venda;16065989.23;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22I0089805;Lucro na Venda;4000000.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22I0089914;Lucro na Venda;4000000.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22I0089943;Lucro na Venda;24000000.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22J0978863;Lucro na Venda;126324755.48;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22K0016415;Lucro na Venda;23295833.33;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22K0024321;Lucro na Venda;71625851.22;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22K0640841;Lucro na Venda;59576817.84;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22L1309906;Lucro na Venda;5714000.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22L1311979;Lucro na Venda;4286000.00;Capital
18.979.895/0001-13;2023-06-01;1;CRI 22L1464124;Lucro na Venda;31307131.53;Capital
18.979.895/0001-13;2023-06-01;1;CRI 23E1152492;Lucro na Venda;27594115.61;Capital
19.249.989/0001-08;2023-06-01;1;RB III HOLDING LTDA;A holding tem por objetivo a administração direta ou indireta de empreendimentos imobiliários residenciais;11284358;Oferta inicial do fundo
22.459.737/0001-00;2023-06-01;1;CRI 20G0800227;Lucro na Venda;1000000.29;Capital
22.459.737/0001-00;2023-06-01;1;CRI 21F1076965;Lucro na Venda;1001049.31;Capital
22.459.737/0001-00;2023-06-01;1;CRI 21I0682465;Lucro na Venda;1999195.83;Capital
22.459.737/0001-00;2023-06-01;1;CRI 21L0736590;Lucro na Venda;999508.20;Capital
23.648.935/0001-84;2023-06-01;1;MANATI CAPITAL FII;Lucro na Venda;1000154.95;Capital
23.648.935/0001-84;2023-06-01;1;NAVI CREDITO FII;Lucro na Venda;3000000.00;Capital
23.648.935/0001-84;2023-06-01;1;JIVE PROP FII MEZ;Lucro na Venda;70000000.00;Capital
23.648.935/0001-84;2023-06-01;1;CRI 21H0953104;Lucro na Venda;6001435.95;Capital
23.648.935/0001-84;2023-06-01;1;CRI 21H0953114;Lucro na Venda;13840277.80;Capital
23.648.935/0001-84;2023-06-01;1;CRI 22A0791137;Lucro na Venda;38032920.42;Capital
23.648.935/0001-84;2023-06-01;1;CRI 22H0718730;Lucro na Venda;104440000.00;Capital
23.648.935/0001-84;2023-06-01;1;CRI 22I1560033;Lucro na Venda;54334674.28;Capital
24.960.430/0001-13;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 238 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;101092841.16;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 240 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;100454074.61;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 30ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;70000000;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 288 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;55287337.02;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 17ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;19605947.84;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 62ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;9151700;Emissão de Cotas
24.960.430/0001-13;2023-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZAC - Série nº 142 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;4887493.83;Emissão de Cotas
26.091.656/0001-50;2023-06-01;1;Certificados de Recebiveis Imobiliarios;Ativo Alvo do Fundo - busca de rentabilidade;64464528.33;Patrimonio Liquido do Fundo
26.614.291/0001-00;2023-06-01;1;LTN;Gestão da Liquidez do Fundo;33767032.17;Fluxo de Caixa
26.614.291/0001-00;2023-06-01;1;BRADESCO FI REF DI FEDERAL EXTRA;Gestão da Liquidez do Fundo;687857.31;Fluxo de Caixa
26.614.291/0001-00;2023-06-01;1;EAGLEBURGMANN - VALINHOS;Aluguel;17500000;Fluxo de Caixa
26.614.291/0001-00;2023-06-01;1;LASA - UBERLÂNDIA;Aluguel;253000000;Fluxo de Caixa / Securitização
26.614.291/0001-00;2023-06-01;1;SANTANDER RF REF DI TIT PUBL PREMIUM I;Gestão da Liquidez do Fundo;590888.62;Fluxo de Caixa
27.882.134/0001-30;2023-06-01;1;TÍTULOS DE RENDA FIXA;Gestão de Liquidez do Fundo;40326.92;Fluxo de Caixa
28.267.696/0001-36;2023-06-01;1;CRI 23C1835910;Lucro na Venda;8919923.14;Capital
28.267.696/0001-36;2023-06-01;1;Empreendimento Votorantim - Splice;Renda;44000000.00;Capital
28.516.325/0001-40;2023-06-01;1;GTLG11;Aumento de receita;9737728;Caixa
28.737.771/0001-85;2023-06-01;1;FATOR VERITA FII;Lucro na Venda;7499943.00;Capital
28.737.771/0001-85;2023-06-01;1;KINEA REND IMOB FII;Lucro na Venda;53132553.25;Capital
28.737.771/0001-85;2023-06-01;1;DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;10069397.32;Capital
28.737.771/0001-85;2023-06-01;1;CRI 22F1357736;Lucro na Venda;5508105.76;Capital
28.737.771/0001-85;2023-06-01;1;Galpao Femsa;Renda;84343954.68;Capital
28.757.546/0001-00;2023-06-01;1;FOF JHSF CAPITAL - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;50000071.59;Capital
28.757.546/0001-00;2023-06-01;1;Shopping Campinas;Renda e Lucro na Venda;121500000.00;Capital
28.830.325/0001-10;2023-06-01;1;FI IMOBILIARIO XP MALLS;Lucro na Venda;14917600.00;Capital
28.830.325/0001-10;2023-06-01;1;FATOR IFIX FII;Lucro na Venda;2999980.00;Capital
28.830.325/0001-10;2023-06-01;1;HEDGE RECEBIVEIS FII;Lucro na Venda;14141038.80;Capital
28.830.325/0001-10;2023-06-01;1;JIVE PROP FII MEZ;Lucro na Venda;25000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 20D1003076;Lucro na Venda;4223625.69;Capital
28.830.325/0001-10;2023-06-01;1;CRI 20D1003081;Lucro na Venda;1169757.61;Capital
28.830.325/0001-10;2023-06-01;1;CRI 20G0800227;Lucro na Venda;10000400.84;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21A0796002;Lucro na Venda;2849875.52;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21F0001403;Lucro na Venda;10097000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21F0950009;Lucro na Venda;2060123.58;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21H0850158;Lucro na Venda;48450570.95;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21H0850177;Lucro na Venda;6600027.87;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21H0953102;Lucro na Venda;12000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 21L1012231;Lucro na Venda;10000995.35;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22A0339236;Lucro na Venda;11850000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22E1284822;Lucro na Venda;45590000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22E1284824;Lucro na Venda;17270000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22E1313809;Lucro na Venda;4001706.42;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22F1357736;Lucro na Venda;29999791.84;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22G0641775;Lucro na Venda;44000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22G0652968;Lucro na Venda;23000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22G0652970;Lucro na Venda;22671963.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22H1574900;Lucro na Venda;30000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22I0247719;Lucro na Venda;25000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22I1294505;Lucro na Venda;4838000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22I1555753;Lucro na Venda;21821927.59;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22I1555972;Lucro na Venda;12877639.18;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22J0215470;Lucro na Venda;14700000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22J1408006;Lucro na Venda;11400000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 22L1270393;Lucro na Venda;11000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23A0006401;Lucro na Venda;4000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23A0006402;Lucro na Venda;6000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23A1462228;Lucro na Venda;12402133.75;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23A1610639;Lucro na Venda;37086372.26;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23B2384601;Lucro na Venda;29000000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23C0248214;Lucro na Venda;8063350.19;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23C1221583;Lucro na Venda;4000248.27;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23D0003603;Lucro na Venda;8974482.22;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23E1082203;Lucro na Venda;10925000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23E1820194;Lucro na Venda;29500000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23E2185801;Lucro na Venda;11893000.00;Capital
28.830.325/0001-10;2023-06-01;1;CRI 23F1447606;Lucro na Venda;4000000.00;Capital
28.830.325/0001-10;2023-06-01;1;GENERAL SHOPPING E OUTLETS DO BRASIL - FII;Lucro na Venda;3987200.00;Capital
29.467.977/0001-03;2023-06-01;1;NAVI CREDITO FII;Lucro na Venda;6023455.88;Capital
29.467.977/0001-03;2023-06-01;1;VALORA CRI INFRA FII;Lucro na Venda;20263497.49;Capital
29.467.977/0001-03;2023-06-01;1;CRI 21E0407810;Lucro na Venda;1499294.01;Capital
29.467.977/0001-03;2023-06-01;1;CRI 21H0922521;Lucro na Venda;1501668.78;Capital
29.467.977/0001-03;2023-06-01;1;CRI 21H0976574;Lucro na Venda;921113.01;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22F0009804;Lucro na Venda;7975436.60;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22G0747620;Lucro na Venda;99243381.23;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22G1234007;Lucro na Venda;58033710.06;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22G1234008;Lucro na Venda;207932187.68;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22K0075397;Lucro na Venda;50009667.08;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22L1086421;Lucro na Venda;71005329.28;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22L1086426;Lucro na Venda;412849596.00;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22L1198359;Lucro na Venda;38034356.14;Capital
29.467.977/0001-03;2023-06-01;1;CRI 22L1467751;Lucro na Venda;13986835.49;Capital
29.467.977/0001-03;2023-06-01;1;CRI 23A1407158;Lucro na Venda;11803000.00;Capital
29.467.977/0001-03;2023-06-01;1;CRI 23C2831403;Lucro na Venda;10000000.00;Capital
29.467.977/0001-03;2023-06-01;1;CRI 23E1991802;Lucro na Venda;100000000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 20C1008074;Lucro na Venda;13832297.90;Capital
29.852.732/0001-91;2023-06-01;1;CRI 21B0028178;Lucro na Venda;3689582.69;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22F1105839;Lucro na Venda;2016392.11;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22F1106105;Lucro na Venda;892616.26;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22G1110109;Lucro na Venda;4503995.71;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22H1318883;Lucro na Venda;26900000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22H1319855;Lucro na Venda;18618000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22H1320252;Lucro na Venda;12743907.97;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22J0070436;Lucro na Venda;12200000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22J0123615;Lucro na Venda;6000000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22J0264219;Lucro na Venda;40275854.89;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22J0347078;Lucro na Venda;6095422.83;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22J1021044;Lucro na Venda;13464770.48;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22K1377349;Lucro na Venda;29999888.69;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22K1684666;Lucro na Venda;60000000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22L0179634;Lucro na Venda;22511714.77;Capital
29.852.732/0001-91;2023-06-01;1;CRI 22L1013767;Lucro na Venda;95000000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 23B0589567;Lucro na Venda;11178773.46;Capital
29.852.732/0001-91;2023-06-01;1;CRI 23D1611321;Lucro na Venda;26559569.52;Capital
29.852.732/0001-91;2023-06-01;1;CRI 23F1688312;Lucro na Venda;36000000.00;Capital
29.852.732/0001-91;2023-06-01;1;CRI 23F1689784;Lucro na Venda;98000000.00;Capital
30.091.444/0001-40;2023-06-01;1;ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;Ganho de capital e dividendos;6000192.22;Capital
30.091.444/0001-40;2023-06-01;1;FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI;Ganho de capital e dividendos;1008322.04;Capital
30.091.444/0001-40;2023-06-01;1;KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Ganho de capital e dividendos;4126345;Capital
30.091.444/0001-40;2023-06-01;1;FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS - FII;Ganho de capital e dividendos;17474927.2;Capital
30.091.444/0001-40;2023-06-01;1;FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES;Ganho de capital e dividendos;7250998.67;Capital
30.091.444/0001-40;2023-06-01;1;VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Ganho de capital e dividendos;9906279.2;Capital
30.130.708/0001-28;2023-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZAC - Série nº 135 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;143027495.223975;Emissão de Cotas
