TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
F.I.I.;51.303.221/0001-70;THOR FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;6278340.77;2
F.I.I.;51.889.479/0001-08;FLORESTA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;15373981.55;2
F.I.I.;52.366.833/0001-74;CODEMAR FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-02-29;3746968.23;1
F.I.I.;53.018.363/0001-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR CRÉDITO PULVERIZADO RESPONSABILIDADE LIMITADA;2024-02-29;80758916.41;2
F.I.I.;53.317.751/0001-00;FUNDO DE INVESTIMENTO IMOBILIÁRIO ECOPARQUE BAIRROS INTEGRADOS;2024-02-29;1015908.90;1
FIDC;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II;2024-02-29;1171827105.87;
FIDC;06.018.364/0001-85;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FIDC PREMIUM;2024-02-29;29236022.33;
FIDC;06.081.379/0001-98;KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;16279501.62;
FIDC;07.383.363/0001-00;LECCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-02-29;111357545.54;
FIDC;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA OUTROS;2024-02-29;8449406.57;
FIDC;08.270.249/0001-29;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MACCRED NÃO PADRONIZADO;2024-02-29;46029451.07;
FIDC;08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2024-02-29;628568822.40;
FIDC;08.621.199/0001-87;FAMCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL NÃO PADRONIZADOS;2024-02-29;151312851.49;
FIDC;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2024-02-29;201537618.05;
FIDC;08.661.352/0001-08;VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;403467338.62;
FIDC;08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-02-29;778980745.61;
FIDC;08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX;2024-02-29;176468454.71;
FIDC;08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2024-02-29;59938891.69;
FIDC;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2024-02-29;86559675.25;
FIDC;09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAO PADRONIZADOS;2024-02-29;39778597.42;
FIDC;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2024-02-29;152156142.63;
FIDC;09.163.026/0001-25;MERIDIANO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS - NÃO PADRONIZADO;2024-02-29;110649282.39;
FIDC;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2024-02-29;196599677.02;
FIDC;09.217.017/0001-70;ACCESS 1 FIC FIDC NP;2024-02-29;264114768.72;
FIDC;09.220.444/0001-07;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL DELTA - NÃO PADRONIZADOS;2024-02-29;22839182.66;
FIDC;09.221.411/0001-81;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VERTIGO;2024-02-29;42102505.39;
FIDC;09.236.210/0001-58;FIDC NP PRECATORIOS SELECIONADOS I;2024-02-29;213513467.78;
FIDC;09.239.216/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP;2024-02-29;10886506.71;
FIDC;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2024-02-29;37977501.03;
FIDC;09.363.400/0001-36;MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL;2024-02-29;154525753.29;
FIDC;09.410.142/0001-00;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;2024-02-29;30644364.02;
FIDC;09.520.712/0001-06;GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC;2024-02-29;21117933.66;
FIDC;09.577.075/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BANCO GM - FINANCIAMENTO A CONCESSIONÁRIAS;2024-02-29;427899748.22;
FIDC;09.584.892/0001-90;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS EXODUS - D30;2024-02-29;0.00;
FIDC;09.609.468/0001-52;MACRO FUND - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-02-29;24830102.81;
FIDC;09.620.060/0001-81;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VOTORANTIM ABSOLUTE;2024-02-29;113496323.26;
FIDC;10.237.131/0001-40;IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-02-29;127596848.24;
FIDC;10.338.491/0001-39;BELLUNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTISETORIAL;2024-02-29;79716677.69;
FIDC;10.434.089/0001-58;BMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;212387758.88;
FIDC;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-02-29;235726439.22;
FIDC;10.545.253/0001-02;VISÃO MULTIMERCADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-02-29;33772453.84;
FIDC;10.772.734/0001-42;GRANCRED SP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;11020895.98;
FIDC;10.774.307/0001-01;PLATINUM FIDC MULTISSETORIAL;2024-02-29;23697953.23;
FIDC;10.810.396/0001-96;CORPORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;86701719.42;
FIDC;10.814.233/0001-81;BI INVEST FIDC FORNECEDORES PETROBRAS;2024-02-29;437184.06;
FIDC;10.841.847/0001-52;MULTI ASSET FIDC MULTISSETORIAL;2024-02-29;236989595.52;
FIDC;10.842.374/0001-08;MÚLTIPLO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2024-02-29;83400925.31;
FIDC;10.996.108/0001-30;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - RECUPERARE;2024-02-29;89009927.62;
FIDC;11.003.181/0001-26;BBIF MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP;2024-02-29;32784780.19;
FIDC;11.026.623/0001-50;BENFICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;24213105.16;
FIDC;11.122.821/0001-17;SL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-02-29;40836654.38;
FIDC;11.370.045/0001-74;G5 CREDIJUS CRÉDITOS JUDICIAIS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;66617329.68;
FIDC;11.468.186/0001-24;ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-02-29;2010014277.43;
FIDC;11.629.795/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL;2024-02-29;12026562.93;
FIDC;11.675.457/0001-12;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER;2024-02-29;1546740.18;
FIDC;11.693.671/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL R&G LP;2024-02-29;183544819.43;
FIDC;11.812.962/0001-61;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BERLANDA;2024-02-29;88125766.53;
FIDC;11.989.256/0001-90;FIDC MULTISETORIAL MASTER II;2024-02-29;1265640.01;
FIDC;12.036.226/0001-21;SG III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;11712898.52;
FIDC;12.036.247/0001-47;SG III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-02-29;126393511.11;
FIDC;12.093.804/0001-61;CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;101319936.55;
FIDC;12.138.813/0001-21;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL MASTER III;2024-02-29;1308125.24;
FIDC;12.144.737/0001-67;CREDIT BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL MASTER;2024-02-29;3755919.31;
FIDC;12.182.585/0001-97;AGRO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;398511669.13;
FIDC;12.227.850/0001-06;G5 BR INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;132691449.32;
FIDC;12.236.809/0001-04;PLR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-02-29;688997506.36;
FIDC;12.254.372/0001-23;GARSON - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-02-29;147959393.35;
FIDC;12.377.935/0001-70;MATURITY FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO;2024-02-29;28247577.36;
FIDC;12.400.421/0001-99;LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;100427690.15;
FIDC;12.400.426/0001-11;MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-02-29;51127711.75;
FIDC;12.428.086/0001-37;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP;2024-02-29;1994325561.68;
FIDC;12.440.789/0001-80;LME REC MULTISETORIAL IPCA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-02-29;71264621.42;
FIDC;12.712.606/0001-39;IGUANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-02-29;23866802.44;
FIDC;12.764.295/0001-51;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ARM - NÃO PADRONIZADO;2024-02-29;82788591.46;
FIDC;12.764.483/0001-80;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEGOCIAL - NÃO PADRONIZADO;2024-02-29;111680406.85;
FIDC;12.769.511/0001-51;FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS ID FINANCIAL;2024-02-29;7062405.34;
FIDC;12.778.706/0001-68;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - BRASILFACTORS CRÉDITO CORPORATIVO;2024-02-29;130354960.24;
FIDC;12.796.029/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS AUTO PEÇAS;2024-02-29;166303915.07;
FIDC;12.803.721/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRATTO LP - NÃO PADRONIZADO;2024-02-29;73886171.30;
FIDC;12.813.209/0001-53;CREDIT PARTNERS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-02-29;167397607.25;
FIDC;12.813.212/0001-77;RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-02-29;347940577.09;
FIDC;12.910.431/0001-74;MEINBERG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-02-29;51918277.19;
FIDC;12.910.463/0001-70;CAPITAL RS NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-02-29;69787880.34;
FIDC;12.956.543/0001-66;CAMBUI FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-02-29;9230602.39;
FIDC;13.005.223/0001-93;DANIELE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NP;2024-02-29;544867896.64;
FIDC;13.098.860/0001-51;GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICRÉDITO;2024-02-29;206932736.88;
FIDC;13.344.834/0001-66;INCENTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL II;2024-02-29;-29979818.78;
FIDC;13.348.521/0001-86;RDG NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL LP;2024-02-29;20793068.81;
FIDC;13.387.221/0001-06;AMIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2024-02-29;320509.58;
FIDC;13.409.986/0001-08;ALBATROZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2024-02-29;21972527.90;
FIDC;13.416.131/0001-04;EGM NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-02-29;50118856.44;
FIDC;13.425.492/0001-09;ACTIVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL NÃO PADRONIZADOS LP;2024-02-29;16154919.82;
FIDC;13.509.993/0001-73;POLO MULTISETORIAL CLASSE DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-02-29;37011563.67;
FIDC;13.633.964/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL INVEST DUNAS LP;2024-02-29;13978.40;
FIDC;13.711.061/0001-09;4SSETS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;5340042.28;
FIDC;13.762.574/0001-49;SIGULER GUFF (JUS BLC) 2A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;3990295.32;
FIDC;13.767.420/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDI VAREJO BR;2024-02-29;99748349.79;
FIDC;13.776.087/0001-35;V4 FIDC NP - AÇÕES JUDICIAIS;2024-02-29;101755499.05;
FIDC;13.805.152/0001-03;PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-02-29;135028920.45;
FIDC;13.807.406/0001-22;B8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-02-29;20268196.53;
FIDC;13.842.701/0001-10;NEW TRADE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL;2024-02-29;177300740.96;
FIDC;13.963.456/0001-07;VHE FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS;2024-02-29;5662513.92;
FIDC;13.974.813/0001-24;G5 BRJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-02-29;80519244.77;
FIDC;14.038.410/0001-36;G5 MIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-02-29;55269058.92;
FIDC;14.042.458/0001-18;FEDERAL 4870 IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;179994715.83;
FIDC;14.051.028/0001-62;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL;2024-02-29;228755762.12;
FIDC;14.138.802/0001-77;SG IV LOCAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-02-29;95394191.41;
FIDC;14.180.196/0001-58;JC DIVERSIFICADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-02-29;4010398.55;
FIDC;14.364.744/0001-08;CAPITAL FORTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-02-29;9431772.31;
FIDC;14.718.674/0001-30;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL JGM LP;2024-02-29;29861592.28;
